                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                  1.748,                 1.0294,                 1.2318,                0.58757,                0.59799,                0.59591,                0.26322,                 1.9523,                 1.2617,                 1.3348,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.7455,                 1.0301,                 1.2345,                0.57524,                0.59047,                0.57422,                0.24778,                 1.9997,                 1.2895,                 1.3564,               0.000416,               0.000416,               0.000416
                     82,                 1.7533,                 1.0299,                 1.2305,                0.60574,                0.61091,                0.61794,                0.26881,                 1.9496,                 1.2162,                 1.3236,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.7372,                 1.0261,                 1.2315,                0.57698,                0.60709,                0.57619,                0.25597,                 1.9491,                 1.3033,                 1.3409,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.7342,                 1.0288,                 1.2294,                 0.5671,                0.60834,                0.58108,                0.25176,                 1.9809,                 1.2781,                 1.3506,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.7422,                 1.0285,                 1.2336,                0.59468,                0.61524,                0.60673,                 0.2688,                 1.9399,                 1.2072,                 1.3315,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.7347,                 1.0251,                 1.2283,                0.59337,                0.61408,                0.60414,                0.27082,                 1.9123,                 1.2694,                 1.3165,               0.000317,               0.000317,               0.000317
                     87,                 1.7234,                 1.0229,                 1.2363,                0.59531,                0.59552,                0.60059,                0.26955,                   1.93,                 1.2165,                 1.3179,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.7233,                 1.0234,                 1.2288,                 0.5892,                0.59674,                0.59372,                0.26904,                  1.914,                 1.2354,                 1.3214,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.7163,                 1.0087,                 1.2266,                0.59443,                0.61681,                0.60424,                0.27027,                 1.9291,                 1.2409,                 1.3267,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.7241,                 1.0089,                 1.2191,                0.60341,                0.61336,                0.61526,                0.27445,                 1.9251,                 1.2113,                 1.3135,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.7592,                 1.0831,                 1.2709,                0.58325,                0.61743,                0.60253,                0.26955,                 1.9217,                 1.2682,                 1.3209,               0.000218,               0.000218,               0.000218
                     92,                 1.7156,                 1.0445,                 1.2507,                0.59781,                0.62402,                0.61509,                0.27044,                 1.9297,                 1.2147,                 1.3238,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.7031,                 1.0296,                 1.2428,                0.59854,                0.63656,                0.61219,                0.26865,                 1.9322,                 1.2241,                 1.3214,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.7026,                  1.029,                 1.2449,                0.58822,                0.61503,                0.60108,                0.26676,                 1.9327,                 1.2519,                 1.3206,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.6979,                 1.0175,                   1.24,                0.58401,                0.61587,                0.59789,                0.26611,                 1.9346,                 1.2434,                 1.3266,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.6947,                  1.014,                 1.2427,                0.59006,                0.60348,                 0.5924,                0.26154,                  1.956,                 1.2463,                 1.3379,               0.000119,               0.000119,               0.000119
                     97,                 1.6796,                 1.0111,                 1.2402,                0.60025,                0.61273,                0.60645,                0.27012,                 1.9366,                 1.2318,                 1.3253,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.6826,                 1.0132,                 1.2376,                0.59401,                0.61367,                0.60021,                0.26752,                 1.9428,                 1.2402,                 1.3324,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.6778,                 1.0089,                 1.2347,                0.60735,                0.61838,                 0.6169,                0.27355,                 1.9359,                 1.2102,                  1.328,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.6758,                 1.0066,                 1.2308,                0.59762,                  0.625,                0.61479,                 0.2763,                 1.9165,                  1.204,                 1.3213,               3.98e-05,               3.98e-05,               3.98e-05
